Label,SiO2,TiO2,Ti,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,K,P,LOI,Total,,Li,Be,Sc,V,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y,Zr,Nb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Ag,Au
Zhang SH2016,0.5269994011103298,0.02310970138208464,0.02310946990119517,0.09339456037150805,0.05770605737085722,0.04691176573213459,0.0016025721155987695,0.07715188659568514,0.10875564644180585,0.020823691692320626,0.004898467393594259,0.001319128961645558,0.00979689318462367,0.00263822074871554,0.0,0.0,0.0,0.00013104522037740978,6.8265231646265955e-06,5.473974784004479e-05,0.0004647006508827099,0.00033695528197962785,4.425337270995075e-05,8.453885954371563e-05,3.777878423891879e-05,0.00010637269701518643,2.0333003861169475e-05,1.627430899321824e-05,0.0001999584631059225,2.549829587165055e-05,0.0001084911597325758,1.036474800923454e-05,2.867964733377081e-07,8.375567862073013e-05,7.17312943871026e-06,1.55586394587482e-05,2.3017008781220286e-06,1.0199354642169433e-05,2.5350369053925365e-06,8.756974951808708e-07,2.6663590715695004e-06,4.291891583466186e-07,2.5596392846097615e-06,5.027625320909734e-07,1.3553515284903204e-06,1.8604670148562384e-07,1.0974911641270615e-06,1.643442652827423e-07,1.4274234716095658e-06,3.252152635987342e-07,5.5622726625600846e-08,9.488538562104382e-07,1.3948606863264438e-09,1.5277832400563173e-10
Zhang SH2016,0.5111830215635652,0.02286052338964417,0.02286029440785176,0.09159181588827318,0.06405857168945638,0.08358767754472432,0.0017935672989862954,0.0928089682093953,0.08201896679469738,0.01970700677149782,0.00027014077601321504,0.0016582498593315433,0.0005402792577556636,0.0033164529891766214,0.0,0.0,0.0,0.00014116337039188332,5.788214465606264e-06,4.995151908512075e-05,0.00041334913534255284,0.00032788744852576185,4.166660294060141e-05,7.261833767634167e-05,3.353647075010694e-05,9.681417145390504e-05,1.770053662822848e-05,1.607725849940728e-05,0.0001735223500047439,2.0678942314188204e-05,9.06556778516057e-05,8.285155178823255e-06,3.254819315521455e-07,0.00019178082254666932,5.633087946728698e-06,1.3393529971423617e-05,1.8916474039721722e-06,8.51189665430122e-06,2.1238907265026032e-06,7.367713334509078e-07,2.285696494718947e-06,3.602550699578034e-07,2.113981406116372e-06,4.1270907471510124e-07,1.152428264211823e-06,1.581584601691825e-07,9.631701277167738e-07,1.3452619036841915e-07,1.1654526445875036e-06,2.566434173082353e-07,4.6688899013535566e-08,1.320199223798633e-06,1.1853958276598456e-09,1.4533852971343173e-10
Zhang SH2016,0.4914982512658562,0.021708654045075347,0.021708436610816794,0.08112605920048294,0.056102370994973186,0.08090905275550396,0.0017775163671862897,0.09917399486326677,0.09983547621470017,0.019022034933421975,0.007094665894946411,0.0012436615503238076,0.01418927153548798,0.0024872880528307314,0.0,0.0,0.0,0.0005087275488465118,7.205496604496884e-06,5.343119676470458e-05,0.0004207885250231811,8.354205450083934e-05,5.455906220050209e-05,7.336486714019205e-05,0.00011508705333914348,0.00011378729960598081,1.953144547563919e-05,2.6555634069165837e-07,0.0004561867939932782,2.4252276795560557e-05,0.00010988659411569555,1.0789674229668227e-05,6.641129345952966e-08,1.414006753185561e-05,8.94135993338252e-06,1.9483046430339665e-05,2.572704710700009e-06,1.1145643422582386e-05,2.624815101269738e-06,9.334659942061327e-07,2.6501319940103995e-06,4.363713291328142e-07,2.5218351349962796e-06,4.931123529773452e-07,1.345660238303577e-06,1.9033087536203478e-07,1.111213436062679e-06,1.65752040115366e-07,1.444661563972041e-06,3.344832956313758e-07,1.2338952612761914e-09,1.2566577108511867e-06,1.1806322374649075e-09,1.3123450474334995e-10
Zhang SH2016,0.5426134012613907,0.041492123452363555,0.04149170785983421,0.09992220100761881,0.08985022128300904,0.04357293009405185,0.002186622905435259,0.043033954505474446,0.027786369165444108,0.014788574731275013,0.014146711172890531,0.0029803208859890346,0.028293302208063267,0.005960557785049223,0.0,0.0,0.0,0.00029360447575637726,1.4473248577977096e-05,5.928288433000296e-05,0.0004179838612275326,6.969741134491918e-06,4.2949564927768036e-05,1.5976684987980492e-05,1.6199027280969864e-05,0.00014558383373652138,2.619075380163818e-05,4.5619120239440866e-05,0.00012472478063544885,4.060354671566806e-05,0.00020249601428959295,2.8989596499206026e-06,7.851329757385778e-07,0.0003373135103937535,1.142056182727933e-05,3.2556735367160683e-05,3.5976473211998707e-06,1.6032690454362733e-05,3.999825212275124e-06,1.1274306999979457e-06,4.3177742546570566e-06,7.053882923771998e-07,4.186954558611731e-06,8.421510562311357e-07,2.2762950991441458e-06,3.2136412527310375e-07,1.9109005567194047e-06,2.861060221152887e-07,2.7018828310707463e-06,4.675758222481286e-08,1.2419050852586708e-07,8.881269640962652e-07,2.928254920605653e-09,8.304619990196121e-10
Zhang SH2016,0.5146951330823621,0.020132591655512812,0.0201323900007455,0.0877788545533495,0.05442924770366911,0.04592902538509968,0.0016385369966780419,0.09949477720573008,0.11584306583918538,0.02042074460233907,0.004730154298903021,0.0011373243016958125,0.009460268424720229,0.002274616553025622,0.0,0.0,0.0,0.00023540619332638058,7.881692957754532e-06,5.05606587313165e-05,0.00046521227909175747,0.00019249425020435943,5.2594228884083275e-05,9.28560087472049e-05,2.621732159509677e-05,0.00011061905403661967,1.972696944350608e-05,2.5612620047695403e-05,0.00021888199292149498,2.4694797045861204e-05,0.00011538127318909396,1.0634149776235085e-05,4.3241827885169846e-07,0.00020266472852505967,6.926658141171569e-06,1.705182344181563e-05,2.28218882148427e-06,1.016227529028301e-05,2.5510029555442124e-06,9.30593965798413e-07,2.5706355719533758e-06,4.225683800956348e-07,2.5670598046058075e-06,4.972330950178989e-07,1.3280847213658816e-06,1.8347649718962105e-07,1.149339930105697e-06,1.6238797320009144e-07,1.5122347934248681e-06,3.318839750888784e-07,7.582801384935128e-08,6.918629227915363e-07,1.4546873952575503e-09,1.6719931352856703e-10
Zhang SH2016,0.5631027473018564,0.02390187975541643,0.02390164034461443,0.07802008911841098,0.06907300161799246,0.07943914017723402,0.002296084434365801,0.04671653522872672,0.05309484547645782,0.02670012644278379,0.007954047065067594,0.002845771979729073,0.015908026578272585,0.005691463765025948,0.0,0.0,0.0,0.0002027753751610233,1.4386130733236464e-05,3.724494029565034e-05,0.0001892826987595705,8.395082439442628e-07,2.7969292120651358e-05,7.437148742950704e-07,5.977247915253309e-06,0.00011260416646044895,2.3921303037660697e-05,2.7899697417125907e-05,0.0001814293356849603,4.228306457725691e-05,0.00023068233773177227,2.3001135941851823e-05,5.049116145371155e-07,0.00013995454805465775,1.3930221880204316e-05,3.087459586402289e-05,4.235276843693605e-06,1.856397689642693e-05,4.506319240496271e-06,1.461956987417488e-06,4.598892495482032e-06,7.174073222668715e-07,4.289941256041956e-06,8.453453698986934e-07,2.3020720809297744e-06,3.239534340421743e-07,2.025555528122678e-06,2.978895517061695e-07,2.9346958106078955e-06,6.228931239395497e-07,7.969343504663957e-08,4.873745867758668e-07,2.893097130781684e-09,3.5061805661288897e-10
Wang chong 2016,0.5064907180406693,0.007712362464905496,0.0077122852156633675,0.08433571134159758,0.048883575287000935,0.08081072418502093,0.001719410058616403,0.11076064736863303,0.12180238869765504,0.0195809743932116,0.002589714742134757,0.00034371621286810854,0.005179407490156243,0.000687422739641928,0.0,0.0,0.0,5.3339848168691224e-05,2.7067773840971862e-06,5.955254157601288e-05,0.0003244293351408281,0.0002932187870391105,5.101636305524385e-05,0.00012156796536669694,0.00011132490298307733,8.525578037752564e-05,1.5306804585194275e-05,8.20574222276878e-06,0.00013224306509131319,1.5433868051286467e-05,4.652888900922541e-05,2.8882164630977576e-06,1.789552174930379e-07,4.187726541908504e-05,3.8064690567438824e-06,7.094510376432612e-06,1.1642338755106984e-06,5.242669786117144e-06,1.2897851057565963e-06,4.334166524330878e-07,1.4310613963879236e-06,2.49426581531437e-07,1.5537084594029333e-06,3.1429751863952856e-07,8.568423445314415e-07,1.2634933716727142e-07,7.78853494843748e-07,1.1850749620476252e-07,7.072598595242777e-07,9.773881137710251e-08,2.983899280313983e-08,5.709979294046859e-07,6.105944863300005e-10,7.74051832763777e-11
Wang chong 2016,0.5030388705397556,0.007400937147182073,0.0074008630175302435,0.08366992093452207,0.04731769721179579,0.07887945877171407,0.0017180206762064723,0.11566041937554676,0.12605053553963586,0.018876930416109754,0.0025229315508037337,0.0003434384703611517,0.0050458416742076686,0.0006868672624549367,0.0,0.0,0.0,4.6623677743381955e-05,2.4341311367912944e-06,6.153760031789326e-05,0.0003313443106246206,0.0003363431630677867,5.169892382761753e-05,0.00010589668895223965,9.876896071349677e-05,7.828991967942288e-05,1.5294435805020902e-05,9.625043946744107e-06,0.0001293543902304274,1.3844987166644842e-05,4.141465576306692e-05,2.5054708181457246e-06,2.338292610155683e-07,4.055661879567929e-05,2.8909297873704353e-06,5.958052341357394e-06,9.470676227932553e-07,4.224543070013181e-06,1.0820577053856918e-06,3.809380606127762e-07,1.2632765184774454e-06,2.1088271809856812e-07,1.3199600160597178e-06,2.734026183744267e-07,7.650701828661937e-07,1.1542604765425812e-07,7.042752365047721e-07,1.0448094292828835e-07,6.24753471317082e-07,8.755709146261276e-08,2.683339305971021e-08,5.205410610345412e-07,4.914703231436254e-10,6.496781375930688e-11
Wang chong 2016,0.5098988256593884,0.009129691068450688,0.009129599622279699,0.08353149652389792,0.05333482260610985,0.08366505865595811,0.0018138936660060255,0.09896883432663044,0.11800613882147931,0.021057358385269467,0.0029271670893209166,0.00043167121845679417,0.005854309319372873,0.0008633302722033787,0.0,0.0,0.0,4.6704832432758546e-05,2.515575370982958e-06,5.8470409450779686e-05,0.0003440011710153258,0.00030874230179680297,5.635142775059646e-05,9.385038105388898e-05,0.00011570673644450205,8.18153785471007e-05,1.5115342703096544e-05,8.674580106644274e-06,0.00012727225993747847,1.3921521309967473e-05,4.540494995188742e-05,2.684197911258801e-06,2.9966510701688557e-07,4.2967092923948806e-05,3.0039547078693663e-06,6.734395323706538e-06,1.0262260078031181e-06,4.630206700528474e-06,1.157315153545414e-06,3.870759008240019e-07,1.320914357668622e-06,2.2361474317865534e-07,1.406439590892394e-06,2.8605913029352013e-07,7.949427531952468e-07,1.1969111855360863e-07,7.541993693277258e-07,1.1206240687341565e-07,6.694009717864465e-07,9.481349347432035e-08,3.2977665384384314e-08,5.500330803503189e-07,5.566705686986745e-10,6.221614418656607e-11
Wang chong 2016,0.48456192577959156,0.0071290959141274545,0.007129024507305932,0.08059667034150993,0.04594726555455788,0.11111370360971586,0.0016549166598169914,0.11214032087832923,0.11932715849786801,0.01932004151987645,0.002928778046929599,0.00033082375206200837,0.005857531220275142,0.0006616381813457027,0.0,0.0,0.0,3.222439145759851e-05,2.9960361169501007e-06,5.5099149677514404e-05,0.00036526390079469,0.00019529654140485896,5.428198773089166e-05,7.170494499396335e-05,0.00011361511501427175,9.337006098984536e-05,1.5574527590642707e-05,1.0851100387734217e-05,0.00013063230257467096,1.5383134981857568e-05,5.514306859932786e-05,3.209500442445208e-06,2.4732296810328586e-07,5.89851072116204e-05,3.718626358059133e-06,7.833811105039812e-06,1.2205406186837144e-06,5.290184713464255e-06,1.3468089615007641e-06,4.287473824862657e-07,1.4856333409755436e-06,2.548444228076325e-07,1.6363042415057919e-06,3.274209911562939e-07,8.983998874178778e-07,1.3550839316738392e-07,8.547925039807645e-07,1.2748150062535565e-07,8.024078268519276e-07,1.1353604576583001e-07,5.4567546295176824e-08,6.968905500672695e-07,7.509393702731849e-10,8.642207656821593e-11
Wang chong 2016,0.5155845937661335,0.008003829854034594,0.008003749684849955,0.08680671902942282,0.04772798809321373,0.07990562936939885,0.0016462717217685006,0.10248071042493913,0.11399073974935761,0.02360242520765867,0.0032625741587619106,0.00043302052376880914,0.006525120608902313,0.0008660288448033121,0.0,0.0,0.0,3.312326477823443e-05,3.478253044344548e-06,5.017649198297584e-05,0.0003040533665798082,0.00012057309415039007,5.193861542738666e-05,7.20477088514901e-05,8.502010973063781e-05,8.037892674116174e-05,1.639675408683151e-05,1.0787225028457738e-05,0.0001627442827198015,1.3688501413395686e-05,5.3093103301348285e-05,2.937368835108047e-06,1.572378601554021e-07,7.608761885564015e-05,3.0177692635520835e-06,6.887045087979176e-06,9.858136807746377e-07,4.389009225356631e-06,1.1772838196804089e-06,4.449108255533952e-07,1.328951915368966e-06,2.2818118941144792e-07,1.361664577901125e-06,2.869532855847515e-07,7.79053655121262e-07,1.1278856401386615e-07,7.032781741738454e-07,1.0538689526095467e-07,8.057920389982986e-07,1.0869698140404131e-07,3.007340546326191e-08,1.1628329259478453e-06,1.4074226178981599e-09,1.46664951351886e-10
Wang chong 2016,0.5140766216520664,0.0071562764426775895,0.007156204762862621,0.0852749814961584,0.044929149387281805,0.08158349021032651,0.001628531881028777,0.1068072808387287,0.11276240208054035,0.022563281188955696,0.004453836038657262,0.0003855189558900799,0.008907634250992998,0.0007710270476637255,0.0,0.0,0.0,0.0001296635763657765,6.0719509402045466e-06,6.153757442499718e-05,0.0003676162823670482,0.0001964510084571131,6.365623319254435e-05,9.064305534527821e-05,9.56814025313955e-05,9.671730225558981e-05,1.8923410896568318e-05,2.440098433567028e-05,0.00020678963487417228,1.4361663813137723e-05,5.252098438289184e-05,3.2329367514826695e-06,8.783633030805062e-07,8.323723930391627e-05,5.077552143988043e-06,9.93718792146902e-06,1.4066911281578158e-06,5.901359220867766e-06,1.4233971685631421e-06,4.801271673759621e-07,1.4538277089842812e-06,2.371997702859384e-07,1.4180828206729615e-06,2.9123416051828956e-07,7.924698511570038e-07,1.187714504341287e-07,7.097543539903099e-07,1.0772631297083894e-07,8.141412554524926e-07,1.1088586579383079e-07,5.9498682897152946e-08,1.0387935924044694e-06,1.3077065659947359e-09,1.5434523828406788e-10
Wang chong 2016,0.4934108631877944,0.012092585550178133,0.0120924644264506,0.07973335961778048,0.06086198881682198,0.10294694036513198,0.0019818616158688595,0.08963093116904895,0.0954856067244473,0.025740545921457,0.007527416557548448,0.0006028844602011834,0.015054769185406321,0.001205751930817621,0.0,0.0,0.0,5.909920343190267e-05,4.340787690713447e-06,5.941734484128776e-05,0.00043556550063852907,0.00016693067581946279,5.0926061540402474e-05,0.00014267565552968366,0.00012600902604433656,0.00011592986936706644,1.770899362549173e-05,4.269631399149857e-05,0.00020091289728510717,1.95944531703371e-05,6.834545482869516e-05,4.098841572619862e-06,4.783096249723676e-07,7.967382655292545e-05,5.7646178865478886e-06,1.0077268422751237e-05,1.7048121235595167e-06,7.62780087462437e-06,1.930989312815335e-06,5.953050633195293e-07,1.978543968071373e-06,3.461528490443998e-07,2.147837004771184e-06,4.373207225115162e-07,1.1584794754148727e-06,1.6644041052996885e-07,1.0596947362030765e-06,1.6419532456889505e-07,1.0753116130996333e-06,1.4187777490223477e-07,9.570401572300559e-08,1.1534680883183428e-06,1.2806592332598198e-09,1.5516582040398724e-10
Wang chong 2016,0.5001218800139293,0.011729101383886538,0.011728983901189672,0.07994202755598892,0.05904221631689363,0.10244608857151886,0.0018864708946793084,0.08964762949672013,0.10152934686681461,0.0229654543190731,0.004972337784483024,0.0005999513398756811,0.009944633339698179,0.00119988577282341,0.0,0.0,0.0,8.42295407224408e-05,7.694410636251408e-06,7.752974643623488e-05,0.0006436022471039023,0.00020238384760746289,6.677975431021622e-05,0.0002787812283330717,0.00021728920661162347,0.00013304287971762092,2.1810441588432643e-05,2.1849241543279637e-05,0.0001971585459754221,2.1551662610426543e-05,7.80148478504884e-05,4.478278776825649e-06,4.668290681452328e-07,0.00014439833406444888,6.130687830849008e-06,1.1894969904092587e-05,1.955528341747329e-06,9.066658117805138e-06,2.180504380875461e-06,6.36439202970114e-07,2.193274150714033e-06,3.9422536465992307e-07,2.4405895411776703e-06,4.868261727018389e-07,1.2910390321572e-06,1.9083531850474187e-07,1.212720042787136e-06,1.8773213802617554e-07,1.141645930464557e-06,1.5463394932957118e-07,4.464300084754739e-08,1.3269336241879741e-06,1.3590146120830413e-09,1.544109161865219e-10
